삼성전자 노트북 플러스2 NT550XDZ-GD7AG WIN10,i7-11세대,8,256,1515240,1840,15.6,외장
삼성전자 갤럭시북 플렉스2 NT950QDA-XD71B,i7-11세대,16,1000,2623580,1570,15.6,외장
삼성전자 갤럭시북 프로360 NT950QDB-KC71G,i7-11세대,16,512,2288610,1390,15.6,내장
LG전자 그램360 16TD90P-GX70K WIN10,i7-11세대,16,256,2189000,1480,16,내장
HP 파빌리온 15-eg0116TX WIN10,i7-11세대,8,512,1148990,1720,15.6,외장
LG전자 2021 그램16 16Z90P-GA70K,i7-11세대,8,256,1852490,1190,16,내장
삼성전자 갤럭시북 프로360 NT950QDB-KC71N,i7-11세대,16,512,2239990,1390,15.6,내장
LG전자 2021 울트라기어 15UD70P-PX70K WIN10,i7-11세대,8,256,1739990,1850,15.6,외장
삼성전자 노트북 플러스2 NT550XDA-K78AW,i7-11세대,8,256,1299000,1810,15.6,내장
HP 파빌리온 15-eg0116TX WIN10 32GB램,i7-11세대,32,512,1306310,1720,15.6,외장
삼성전자 갤럭시북 이온2 NT950XDA-XC78W 16GB램,i7-11세대,16,256,2111640,1260,15.6,외장
DELL XPS 13 9305 WH03KR,i7-11세대,8,512,1535270,1160,13.3,내장
LG전자 2021 그램17 17Z90P-GA76K,i7-11세대,16,512,2450000,1350,17,내장
ASUS ExpertBook B9 B9400CEA-I7C650 WIN10,i7-11세대,16,512,1898990,880,14,내장
ASUS TUF Dash F15 FX516PM-HN002 WIN10 40GB램,i7-11세대,40,512,1819000,2000,15.6,외장
HP 파빌리온 x360 14-dw1054TU,i7-11세대,16,512,1178000,1610,14,내장
레노버 씽크패드 E15 ITL 20TDS01300,i7-11세대,8,256,1189000,1700,15.6,외장
HP 엔비 x360 15-ed1502TU,i7-11세대,16,512,1798990,1973,15.6,내장
LG전자 2021 그램17 17Z90P-GA7BK,i7-11세대,8,256,1947500,1350,17,내장
HP 250 G8-363U4PC WIN10 32GB램,i7-11세대,32,1000,1526280,1740,15.6,내장
LG전자 2021 그램16 16Z90P-GA7IK,i7-11세대,8,512,1819000,1190,16,내장
GIGABYTE AERO 15 OLED XD WIN10,i7-11세대,16,1000,2728950,2200,15.6,외장
주연테크 슈퍼플라이 J9ST WIN10,i7-11세대,16,512,1070910,1120,14,내장
HP 파빌리온 x360 14-dw1054TU 32GB램,i7-11세대,32,512,1315130,1610,14,내장
MSI 모던시리즈 모던15 A11M-i7 카본 그레이 WIN10 32GB램,i7-11세대,32,512,1203010,1600,15.6,내장
LG전자 2021 그램17 17Z90P-GA7IK,i7-11세대,8,512,1919800,1350,17,내장
ASUS TUF Dash F15 FX516PR-HN032 WIN10,i7-11세대,16,512,2099000,2000,15.6,외장
ASUS TUF Dash F15 FX516PM-HN080 WIN10 40GB램,i7-11세대,40,2000,2598990,2000,15.6,외장
레노버 요가 Slim7 15ITL i7 16G WIN10,i7-11세대,16,512,1331989,1850,15.6,내장
HP 250 G8-363U4PC WIN10,i7-11세대,8,256,1155410,1740,15.6,내장
HP 250 G8-363U4PC WIN10 16GB램,i7-11세대,16,256,951000,1740,15.6,내장
ASUS TUF Dash F15 FX516PR-AZ019 WIN10 40GB램,i7-11세대,40,4000,4310960,2000,15.6,외장
레노버 아이디어패드 Slim5-15ITL 82FG0090KR,i7-11세대,16,512,1167784,1660,15.6,내장
DELL 인스피론 15 5502 DN5502-UB06KR WIN10,i7-11세대,16,512,1250270,1720,15.6,외장
레노버 요가 7 Slim 7i Carbon 82EV005BKR,i7-11세대,16,512,1496194,970,13.3,내장
레노버 아이디어패드 Slim5-15ITL 82FG005FKR,i7-11세대,16,256,1138807,1660,15.6,외장
ASUS TUF Dash F15 FX516PR-AZ019 WIN10,i7-11세대,16,1000,2350960,2000,15.6,외장
레노버 아이디어패드 Slim5-14ITL 82FE0054KR,i7-11세대,16,256,1138807,1580,14,외장
레노버 아이디어패드 Slim3-17ITL 7i W,i7-11세대,8,256,1334400,2100,17.3,내장
ASUS 젠북 UX425EA-BM113T,i7-11세대,16,512,1299000,1170,14,내장
ASUS 젠북 플립 UX363EA-HP213T,i7-11세대,16,512,1543290,1300,13.3,내장
LG전자 2021 울트라PC 15UD50P-KX70K WIN10 32GB램,i7-11세대,32,1000,1709000,1850,15.6,외장
삼성전자 갤럭시북 프로 NT935XDB-K71AB,i7-11세대,16,512,1990000,880,13.3,내장
DELL 인스피론 15 5502 DN5502-UB06KR WIN10 32GB램,i7-11세대,32,500,1360670,1720,15.6,외장
ASUS 젠북 듀오 UX482EG-KA099T,i7-11세대,16,1000,2290800,1620,14,외장
레노버 V15 ITL-82KB002MKR,i7-11세대,8,256,929000,1700,15.6,내장
주연테크 스튜디오 J11STF_65T WIN10,i7-11세대,16,512,1262860,1400,14,외장
삼성전자 갤럭시북 프로 NT950XDC-XC71S,i7-11세대,16,512,2044420,1150,15.6,외장
LG전자 2021 울트라기어 15U70P-FA76K,i7-11세대,8,256,1677230,1850,15.6,외장
DELL 인스피론 15 5510 DN5510-WH02KR,i7-11세대,16,512,1378940,1630,15.6,외장
GIGABYTE G7 MD Gen11 i7 WIN10,i7-11세대,16,512,1759000,2500,17,외장
LG전자 2021 울트라기어 17UD70P-PX76K WIN10 32GB램,i7-11세대,32,256,2314160,1950,17,외장
삼성전자 갤럭시북 프로360 NT950QDB-KD71S,i7-11세대,16,1000,2789990,1390,15.6,내장
ASUS 젠북 UX435EG-A5035T,i7-11세대,16,512,1599000,1220,14,외장
삼성전자 노트북 플러스2 NT550XDA I7 WIN10,i7-11세대,8,256,1257430,1810,15.6,내장
LG전자 2021 그램17 17ZD90P-GX70K WIN10,i7-11세대,8,256,1726080,1350,17,내장
삼성전자 갤럭시북 프로360 NT950QDB-KD71N,i7-11세대,16,1000,2789990,1390,15.6,내장
LG전자 2021 그램16 16Z90P-OA7LK,i7-11세대,16,512,2250080,1190,16,내장
삼성전자 갤럭시북 이온2 NT950XDA-K78AW,i7-11세대,8,256,1729000,1190,15.6,내장
